# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O I-IV, C I-IV, N I-V, Si I-IV, Mg I-IV, S I-IV (missing Ne I-IV, Ar I-IV)
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: 4 (+ no restrictions for H I, + some He n>4 at the bottom, + n5-12 with -log(gf) > 0 for the above elements)
# Transition types included: Nebular (E1,E2)
# Transitions from auto-ionizing levels: included
# Comment code: A-> activity, D -> diagnostic line (global), V -> vsini, Q -> affected by wind, Teff -> used for determination of Teff, RV_O/B/A -> good for RV determination

wl_air	   , dlamb  , spc   , tt, configuration                              , term               , J_i-J_k          , -lg(gf), tpf, level_energy(cm-1)     , ref    ,  name, comment
3830.922   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).4p-3s2.3p2.(3P).4d      ,       2Po-2D       ,    3/2 - 3/2     , -0.8571,   3,  133399.97 -  159495.94, ASD    ,      ,
3831.379   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).4p-3s2.3p2.(3P).4d      ,       2Po-2D       ,    3/2 - 5/2     ,  0.0970,   3,  133399.97 -  159492.83, ASD    ,      ,
3831.726   , 1.3e-02, C II  , E1,                2s2.4p-2s.2p.(3Po).3p       ,       2Po-2D       ,    3/2 - 5/2     , -0.5801,  24,  162524.57 -  188615.07, ASD    ,      ,
3831.815   , 1.3e-02, S III , E1,             3s2.3p.4s-3s2.3p.4p            ,       3Po-3P       ,      0 - 1       , -1.0886,  19,  146697.37 -  172787.26, ASD    ,      ,
3832.2993  , 1.3e-03, Mg I  , E1,                 3s.3p-3s.3d                ,       3Po-3D       ,      1 - 1       , -0.3514,  17,   21870.46 -   47957.06, ASD    ,      ,
3832.3039  , 1.3e-03, Mg I  , E1,                 3s.3p-3s.3d                ,       3Po-3D       ,      1 - 2       ,  0.1259,  17,   21870.46 -   47957.03, ASD    ,      ,
3833.3     , 1.3e+00, O IV  , E1,           2p2.(3P).3s-2p2.(3P).3p          ,        4P-4Do      ,    3/2 - 5/2     , -0.1930,   3,  576997.00 -  603077.00, ASD    ,      ,
3834.2244  , 1.3e-03, N I   , E1,       2s2.2p2.(3P).3s-2s2.2p2.(1D).3p      ,        2P-2Po      ,    3/2 - 1/2     , -2.4041,   3,   86220.51 -  112294.01, ASD    ,      ,
3835.139   , 1.0e-02, N II  , E1,       2s2.2p.(2Po).4p-2s.2p2.(4P).3p       ,        3P-3Do      ,      2 - 2       , -1.0234,   3,  203258.78 -  229326.06, 030    ,      ,
3835.384   , 1.5e-02, H I   , E1,                    2*-9*                   ,         2-9        ,1/2-3/2 - 1/2-17/2, -1.3619,  28,   82259.11 -  108324.73, 007    ,    Hn,
